STN,YYYYMMDD,SP,UX
240,20190401,92,71
240,20190402,29,98
240,20190403,33,95
240,20190404,17,96
240,20190405,82,91
240,20190406,18,92
240,20190407,85,92
240,20190408,81,85
240,20190409,86,85
240,20190410,92,76
240,20190411,78,81
240,20190412,56,73
240,20190413,74,82
240,20190414,80,87
240,20190415,75,87
240,20190416,85,82
240,20190417,21,88
240,20190418,77,59
240,20190419,86,68
240,20190420,93,80
240,20190421,93,78
240,20190422,88,76
240,20190423,87,65
240,20190424,66,94
240,20190425,17,93
240,20190426,49,94
240,20190427,34,95
240,20190428,11,97
240,20190429,66,98
