year,combinedStatus,fullName,sortName,primaryNationality,secondaryNationality,tertiaryNationality,gender,photoUrl,photoCredit,type,lastStatus,typeOfDeath,status,employedAs,organizations,jobs,coverage,mediums,country,location,region,state,locality,province,localOrForeign,sourcesOfFire,motiveConfirmed,accountabilityCrossfire,accountabilityAssignment,impunityMurder,tortured,captive,threatened,charges,motive,lengthOfSentence,healthProblems,impCountry,entry,sentenceDate,sentence,locationImprisoned
1994,Confirmed,Abdelkader Hireche,,,,,Male,,,Journalist,,Murder,Killed,Staff,Algerian Television (ENTV),Broadcast Reporter,Politics,Television,DZA,Algiers,,,Algiers,,Foreign,,Confirmed,,,Partial Impunity,No,No,No,,,,,,,,,
2014,Confirmed,Ahmed Hasan Ahmed,,,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Xinhua News Agency,"Camera Operator,Photographer","Human Rights,Politics,War",Internet,SYR,Damascus,,,Damascus,,Foreign,,Confirmed,,,,,,,,,,,,,,,
2018,Confirmed,Aleksandr Rastorguyev,,RUS,,,Male,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/AP_RasturgurovCap.jpg_75b5e8c0-3334-46e8-84e5-f108c0dab6ac.jpeg,AP Photo/Alexei Maishev,Journalist,Killed,Dangerous Assignment,Killed,Freelance,The Investigations Management Centre (TsUR),"Broadcast Reporter,Producer","Business,Corruption,Crime,Human Rights,Politics,War",Television,CAF,Kémo,,,,Kémo,Foreign,"Criminal Group,Local Residents,Military Officials,Paramilitary Group,Political Group",Confirmed,,No,,,,,,,,,,,,,
1994,Confirmed,Alessandro Otta,,,,,Male,,,Journalist,,Crossfire,Killed,Staff,RAI-TV,Broadcast Reporter,War,Television,BIH,Mostar,,,Mostar,,Foreign,Paramilitary Group,Confirmed,,,,,,,,,,,,,,,
1993,Confirmed,Alexandra Tuttle,,,,,Female,,,Journalist,,Crossfire,Killed,Staff,The Wall Street Journal,Print Reporter,"Business,Culture,Politics",Print,GEO,Sukhumi,,,Sukhumi,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
2004,Confirmed,Ali al-Khatib,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/ali_al_khatib_iraq_2004.jpg,,Journalist,,Crossfire,Killed,Staff,Al-Arabiya,Broadcast Reporter,War,Television,IRQ,Baghdad,,,Baghdad,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
2011,Confirmed,Ali Hassan al-Jaber,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Al-Jaber.jpg,Al-Jazeera,Journalist,,Crossfire,Killed,Staff,Al-Jazeera,Camera Operator,War,Television,LBY,an area near Benghazi,,,an area near Benghazi,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
2014,Confirmed,Ali Mustafa,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/ali.mustafa.google.plus.cropped.jpg,Google+,Journalist,,Crossfire,Killed,Freelance,Freelance,Photographer,"Human Rights,Politics,War","Print,Internet",SYR,Aleppo,,,Aleppo,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
2014,Confirmed,Anatoly Klyan,,,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Pervy Kanal,Camera Operator,"Politics,War",Television,UKR,Donetsk,,,Donetsk,,Foreign,,Confirmed,,,,,,,,,,,,,,,
2014,Confirmed,Andrea Rocchelli,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/andrea.rocchelli.ap.jpg,AP,Journalist,,Crossfire,Killed,Freelance,Cesura photo agency,Photographer,"Human Rights,War","Print,Internet",UKR,Andreyevka,,,Andreyevka,,Foreign,Military Officials,Confirmed,No,,,,,,,,,,,,,,
1993,Confirmed,Andrei Soloviev,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Soloviev.Russia.1993.1.jpg,AP,Journalist,,Crossfire,Killed,Staff,ITAR-TASS,Photographer,War,Print,GEO,Sukhumi,,,Sukhumi,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
